nohup: ignoring input
[DeDL/SDL] Epoch 403/1000, train MSE=0.6146
[DeDL/SDL] Epoch 404/1000, train MSE=0.6136
[DeDL/SDL] Epoch 405/1000, train MSE=0.6131
[DeDL/SDL] Epoch 406/1000, train MSE=0.6118
[DeDL/SDL] Epoch 407/1000, train MSE=0.6116
[DeDL/SDL] Epoch 408/1000, train MSE=0.6108
[DeDL/SDL] Epoch 409/1000, train MSE=0.6109
[DeDL/SDL] Epoch 410/1000, train MSE=0.6092
[DeDL/SDL] Epoch 411/1000, train MSE=0.6087
[DeDL/SDL] Epoch 412/1000, train MSE=0.6079
[DeDL/SDL] Epoch 413/1000, train MSE=0.6076
[DeDL/SDL] Epoch 414/1000, train MSE=0.6067
[DeDL/SDL] Epoch 415/1000, train MSE=0.6060
[DeDL/SDL] Epoch 416/1000, train MSE=0.6056
[DeDL/SDL] Epoch 417/1000, train MSE=0.6049
[DeDL/SDL] Epoch 418/1000, train MSE=0.6042
[DeDL/SDL] Epoch 419/1000, train MSE=0.6043
[DeDL/SDL] Epoch 420/1000, train MSE=0.6031
[DeDL/SDL] Epoch 421/1000, train MSE=0.6032
[DeDL/SDL] Epoch 422/1000, train MSE=0.6016
[DeDL/SDL] Epoch 423/1000, train MSE=0.6010
[DeDL/SDL] Epoch 424/1000, train MSE=0.6008
[DeDL/SDL] Epoch 425/1000, train MSE=0.5995
[DeDL/SDL] Epoch 426/1000, train MSE=0.5994
[DeDL/SDL] Epoch 427/1000, train MSE=0.5984
[DeDL/SDL] Epoch 428/1000, train MSE=0.5982
[DeDL/SDL] Epoch 429/1000, train MSE=0.5973
[DeDL/SDL] Epoch 430/1000, train MSE=0.5965
[DeDL/SDL] Epoch 431/1000, train MSE=0.5964
[DeDL/SDL] Epoch 432/1000, train MSE=0.5958
[DeDL/SDL] Epoch 433/1000, train MSE=0.5951
[DeDL/SDL] Epoch 434/1000, train MSE=0.5939
[DeDL/SDL] Epoch 435/1000, train MSE=0.5941
[DeDL/SDL] Epoch 436/1000, train MSE=0.5927
[DeDL/SDL] Epoch 437/1000, train MSE=0.5943
[DeDL/SDL] Epoch 438/1000, train MSE=0.5929
[DeDL/SDL] Epoch 439/1000, train MSE=0.5924
[DeDL/SDL] Epoch 440/1000, train MSE=0.5921
[DeDL/SDL] Epoch 441/1000, train MSE=0.5913
[DeDL/SDL] Epoch 442/1000, train MSE=0.5901
[DeDL/SDL] Epoch 443/1000, train MSE=0.5900
[DeDL/SDL] Epoch 444/1000, train MSE=0.5879
[DeDL/SDL] Epoch 445/1000, train MSE=0.5887
[DeDL/SDL] Epoch 446/1000, train MSE=0.5868
[DeDL/SDL] Epoch 447/1000, train MSE=0.5869
[DeDL/SDL] Epoch 448/1000, train MSE=0.5858
[DeDL/SDL] Epoch 449/1000, train MSE=0.5854
[DeDL/SDL] Epoch 450/1000, train MSE=0.5853
[DeDL/SDL] Epoch 451/1000, train MSE=0.5842
[DeDL/SDL] Epoch 452/1000, train MSE=0.5839
[DeDL/SDL] Epoch 453/1000, train MSE=0.5832
[DeDL/SDL] Epoch 454/1000, train MSE=0.5826
[DeDL/SDL] Epoch 455/1000, train MSE=0.5819
[DeDL/SDL] Epoch 456/1000, train MSE=0.5815
[DeDL/SDL] Epoch 457/1000, train MSE=0.5808
[DeDL/SDL] Epoch 458/1000, train MSE=0.5803
[DeDL/SDL] Epoch 459/1000, train MSE=0.5798
[DeDL/SDL] Epoch 460/1000, train MSE=0.5792
[DeDL/SDL] Epoch 461/1000, train MSE=0.5784
[DeDL/SDL] Epoch 462/1000, train MSE=0.5781
[DeDL/SDL] Epoch 463/1000, train MSE=0.5773
[DeDL/SDL] Epoch 464/1000, train MSE=0.5767
